Número de concesión|Tipo de documento|Número de solicitud|Fecha de presentación|Fecha de concesión|Clasificación CIP|Título|Resumen|Inventor(es)|Titular
Gaceta: Patentes, Registros de Modelos de Utilidad y de Diseños Industriales Volúmen: Mayo de 2012
298740|Patente|PA/a/2005/011886|04/11/2005|02/05/2012|<i>A61K38/00</i> <b>(2006-01)</b>|METODOS Y COMPOSICIONES PARA LA PREVENCION Y TRATAMIENTO DE SEPTICEMIA.|Un método para prevenir o tratar la septicemia administrando conjuntamente a un paciente una cantidad para prevenir o tratar la septicemia de uno o más inhibidores del complemento y una cantidad para prevenir o tratar la septicemia de uno o más inhibidores de la vía CD14. Los inhibidores del complemento son de preferencia anticuerpos que se unen a proteínas del complemento como C5a y las inhiben y los inhibidores de la vía CD14 son de preferencia anticuerpos que se unen a componentes de la vía CD14 como CD14 y LPS y los inhiben.|FUNG, SEK CHUNG; MOLLNES, TOM, EIRIK; Deal Street 3511, 77025, Houston, Texas, E.U.A.|TANOX, INC.*; MEDINNOVA AS; Stella Link Road 10301, 77025-5497, Houston, Texas, E.U.A.|
299046|Patente|MX/a/2011/004961|10/05/2011|09/05/2012|<i>C08C19/44</i> <b>(2006-01)</b>; <i>C08C2/02</i> <b>(2006-01)</b>|PROCESO PARA REMOVER EL SILANOL DE LA PREPARACION DE UN POLIMERO MODIFICADO.|La presente invención proporciona un método para una preparación de un polímero seleccionado de lo siguiente: (a) un interpolímero modificado que comprende, en forma polimerizada, un dieno conjugado y una alfa-olefina aromática, o (b) un polímero modificado que comprende en forma polimerizada, un dieno conjugado, y en donde dicho método comprende al menos los siguientes pasos: monómeros de polimerización que comprenden al menos un monómero de dieno conjugado y al menos un reactor de polimerización, en la presencia de al menos un solvente, para formar el polímero, acoplando opcionalmente una fracción de las cadenas del polímero utilizando al menos un agente de acoplamiento, y modificando el polímero con al menos un agente de modificación, en al menos un reactor, en la presencia de al menos un solvente, para formar una solución de polímero modificada; opcionalmente, poner por contacto la solución de polímero modificado con al menos un compuesto donante de protones; poner en contacto la solución de polímero modificada con agua; remover al menos un solvente; y poner en contacto un solvente removido con al menos un material que reaccionará con, y/o absorberá, silanol para formar un solvente purificado, recirculando un solvente purificado de vuelta a dicho al menos un reactor de polimerización o a un contenedor de almacenamiento.|SVEN THIELE; NORBERT JANTSCH; JOCHEN BOEHM; CHRISTIANE BERNDT; Kauzchenweg 2, 06120, Halle, ALEMANIA|STYRON EUROPE GMBH.*; Bachtobelstrasse 3, CH-8810, Horgen, SUIZA|
299047|Patente|MX/a/2008/010504|14/08/2008|09/05/2012|<i>B05C21/00</i> <b>(2006-01)</b>|APLICADOR DE LIQUIDO Y METODO PARA REDUCIR LA CONCENTRACION DE SUBPRODUCTOS DE ANTISEPTICO.|La presente invención se refiere en general a aplicadores y a un método para reducir la concentración de sustancias químicas no deseadas, tales como para-cloro anilina (PCA) de una solución antiséptica. Más específicamente, el aplicador incluye solución antiséptica en una cantidad suficiente para ser aplicada a una superficie deseada y para que tenga un efecto antimicrobiano sobre la superficie deseada y un elemento poroso. El elemento poroso elimina selectivamente los subproductos no deseados de la solución antiséptica cuando la solución antiséptica se pone en contacto con el al menos un elemento poroso.|SCOTT A. TUFTS; JESUS FLORES; ANGEL G. MAGALLON; JAMES R. BARDWELL; 1550 Northwestern Drive, 79912, El Paso, Texas, E.U.A.|CAREFUSION 2200, INC.; 3750 Torrey View Court, San Diego, 92130, California, E.U.A.|
299048|Patente|MX/a/2010/001378|03/02/2010|09/05/2012|<i>A61K39/395</i> <b>(2006-01)</b>; <i>A61P35/00</i> <b>(2006-01)</b>; <i>C07K16/28</i> <b>(2006-01)</b>|USO TERAPEUTICO DE ANTICUERPOS DEL RECEPTOR ANTI-TWEAK.|La presente invención se refiere a composiciones y métodos para tratar tumores sólidos.|PATRICIA CULP; 8362 Outlook Avenue, 94605, Oakland, California, E.U.A.|ABBOTT BIOTHERAPEUTICS CORP.; 1500 Seaport Blvd., Redwood City, California, 94063, California, E.U.A.|
299049|Patente|MX/a/2008/001022|22/01/2008|09/05/2012|<i>B60K17/00</i> <b>(2006-01)</b>|SISTEMAS DE DIRECCION, SISTEMAS DE DIRECCION Y COORDINACION DE VELOCIDAD, Y VEHICULOS ASOCIADOS.|En un amplio aspecto, vehículos que son capaces de realizar una vuelta con un radio de mínimo a cero, usando la rotación independiente de ruedas motrices y girando la estructura o estructuras dirigibles no motrices (tales como ruedas) con un dispositivo de entrada de dirección (en algunas modalidades, las ruedas de dirección también pueden ser giradas). Esto puede lograrse usando un sistema de dirección, un sistema de control de velocidad y un dispositivo de integración (juntos, un sistema de control) que están configurados para trabajar juntos para proporcionar una dirección correcta hacia adelante y en reversa, y en algunas modalidades, para reducir la velocidad de la rueda motriz fuera de borda del vehículo cuando ésta entra en una vuelta extrema bajo velocidad de entrada constante. Se incluye diferentes sistemas configurados para uso en estos vehículos.|AXEL SCHAEDLER; HANS HAUSER; RICK RUEBUSCH; IAN DAVID CORNWELL; CHRIS GREENWOOD; 27171 Cook Road, 44138, Olmstead Township, Ohio, E.U.A.|MTD PRODUCTS INC.; 5965 Grafton Rd., Valley City, 44280, Ohio, E.U.A.|
299050|Patente|MX/a/2010/002005|19/02/2010|09/05/2012|<i>C07D401/12</i> <b>(2006-01)</b>; <i>A61K31/506</i> <b>(2006-01)</b>; <i>A61P35/00</i> <b>(2006-01)</b>; <i>C07D401/14</i> <b>(2006-01)</b>; <i>C07D405/14</i> <b>(2006-01)</b>; <i>C07D409/14</i> <b>(2006-01)</b>|DERIVADOS DE 2-HETEROARIL-AMINO-PIRIMIDINA COMO INHIBIDORES DE CINASA.|La invención proporciona compuestos de la fórmula (I): (ver fórmula I) y composiciones farmacéuticas de los mismos, los cuales son útiles como inhibidores de cinasa de proteína, así como métodos para utilizar tales compuestos con el fin de tratar, aminorar, o prevenir una condición asociada con una actividad de cinasa anormal o mal regulada. En algunas modalidades, la invención proporciona métodos para utilizar tales compuestos con el fin de tratar, aminorar, o prevenir enfermedades o trastornos que involucren una activación anormal de las cinasas c-kit, PDGFRa, PDGFRß, CSF1R, Abl, BCRAbl, CSK, JNK1, JNK2, p38, p70S6K, TGFß, SRC, EGFR, trkB, FGFR3, Fes, Lck, Syk, RAF, MKK4, MKK6, SAPK2ß, BRK, Fms, KDR, c-raf o b-raf.|JULIET NABAKKA; XIAOLIN LI; JON LOREN; XIAODONG LIU; DONATELLA CHIANELLI; VALENTINA MOLTENI; 12782 Seabreeze Farms Drive, 92130, San Diego, California, E.U.A.|IRM LLC.*; 131 Front Street P.O. Box HM 2899, Hamilton HM LX, , BERMUDAS|
299051|Patente|MX/a/2010/007924|25/01/2007|09/05/2012|<i>A61K31/662</i> <b>(2006-01)</b>; <i>A61K47/48</i> <b>(2006-01)</b>; <i>C07F9/02</i> <b>(2006-01)</b>|CONJUGADOS DE FOSFONATO DE NUCLEOSIDO COMO AGENTES CONTRA VIH.|La invención se refiere a compuestos inhibidores antivirales sustituidos por fósforo, a composiciones que contienen tales compuestos, y a métodos terapéuticos que incluyen la administración de estos compuestos, así como a procesos e intermediarios útiles para la preparación de estos compuestos.|CONSTANTINE G. BOOJAMRA; KUEI-YING LIN; RICHARD L. MACKMAN; DAVID Y. MARKEVITCH; OLEG V. PETRAKOVSKY; LIJUN ZHANG; ADRAIN S. RAY; 1 Worth Street, 94114, San Francisco, California, E.U.A.|GILEAD SCIENCES, INC.; 333 Lakeside Drive, 94404, Foster City, California, E.U.A.|
299052|Patente|MX/a/2008/015701|09/12/2008|09/05/2012|<i>E21B7/24</i> <b>(2006-01)</b>; <i>E21B10/36</i> <b>(2006-01)</b>|METODO Y APARATO DE PERFORACION MEJORADO POR RESONANCIA.|La presente invención se relaciona con un aparato de perforación que comprende un trépano (1) capaz de rotación y carga oscilatoria de alta frecuencia; y un medio de control para controlar la carga rotacional y/u oscilatoria aplicada del trépano, el medio de control tiene un medio de ajuste para hacer variar la carga rotacional y/u oscilatoria aplicada, el medio de ajuste es sensible a condiciones de material a través del cual pasa el trépano. El medio de control se encuentra activo y se proporciona en el aparato en una ubicación en el fondo de un pozo e incluye detectores para realizar mediciones en el fondo del pozo de características del material, por lo que el aparato puede funcionar en el fondo del pozo bajo control en tiempo real en un circuito. El aparato puede determinar los parámetros de carga apropiados para el trépano con el fin de obtener y mantener resonancia entre el trépano y el material perforado en contacto con el mismo.|MARIAN WIERCIGROCH; Research and Innovation, University Office, AB24 3FX, Kings Collage, Aberdeen, REINO UNIDO|UNIVERSITY COURT OF THE UNIVERSITY OF ABERDEEN; Research and Innovation, University Office, AB24 3FX, Kings Collage, Aberdeen, REINO UNIDO|
299053|Patente|MX/a/2010/001429|05/02/2010|09/05/2012|<i>A61K31/375</i> <b>(2006-01)</b>; <i>A61K31/473</i> <b>(2006-01)</b>; <i>A61K9/14</i> <b>(2006-01)</b>; <i>A61P43/00</i> <b>(2006-01)</b>|MENDICAMENTO EN POLVO PARA DISTRIBUCION NASAL DE ÁCIDO ASCÓRBICO PARA REDUCIR LA TOXICIDAD INDUCIDA POR APOMORFINA HACIA REJIDO CILIACO.|Se describe el uso de ácido arcórbico en la elaboración de un medicamento en polvo para distribución nasal para aliviar la toxicidad, el medicamento comprende un agente activo tal como apomorfina que exhibe toxicidad a tejido ciliado.|PETER LAMBERT; FRANCISCUS MERKUS W.H.M.; 41-51 Brighton Road, RH1 6YS, Redhill, Surrey, REINO UNIDO|BRITANNIA PHARMACEUTICALS LIMITED.*; 41-51 Brighton Road, RH1 6YS, Radhill, Surrey, REINO UNIDO|
299054|Patente|MX/a/2010/008765|09/08/2010|09/05/2012|<i>C12M3/00</i> <b>(2006-01)</b>; <i>A61N1/00</i> <b>(2006-01)</b>|REGULACION DE EXPRESION DE GENES DE FACTOR DE CRECIMIENTO DE FIBROBLASTOS-2 (FGF-2) EN CELULAS VIVAS CON LA APLICACION DE CAMPOS ELECTRICOS Y ELECTROMAGNETIVOS ESPECIFICOS Y SELECTIVOS.|La presente invención se refiere a métodos y dispositivos para la regulación del ARNm de Factor de crecimiento fibroblástico-2 y/o proteína de FGF-2 en células óseas y otros tejidos mediante el acoplamiento capacitivo o acoplamiento inductivo de campos eléctricos y/o electromagnéticos específicos y selectivos en las células óseas y otros tejidos, donde los campos específicos y selectivos se generan mediante la aplicación de señales específicas y selectivas a electrodos o una o más bobinas u otro dispositivo generador de campos dispuesto con respecto a las células óseas u otros tejidos para facilitar el tratamiento del afectado o hueso y/o tejidos. Mediante el concepto de expresión génica, se da a entender la regulación por incremento o la regulación lentificadora del proceso por lo cual las porciones específicas (los genes) del genoma humano (ADN) son transcritas en el ARNm y posteriormente traducidas a la proteína. Se proporcionan métodos y dispositivos para el tratamiento con especificidad de objetivo del hueso lesionado o enfermo y otro tejido que incluye señales específicas y selectivas generadoras que generan campos eléctricos y/o electromgnéticos en el tejido con especificidad de objetivo optimizado para el aumento de la expresión génica de proteína de FGF-2 y exponiendo el hueso y otro tejido a los campos generados por señales específicas y selectivas para regular la expresión génica de la proteína de FGF-2 en el tejido. Los métodos y los disp resultantes ositivos son útiles para el tratamiento específico contra osteoporosis, osteopenia, osteonecrosis, fracturas óseas recientes, riesgo de fracturas, no unión, defectos óseos, fusión de columna vertebral, y/u otras afecciones en las cuales la proteína de FGF-2 ha sido implicada.|CARL T. BRIGHTON; 14 Flintshire Road, 19355, Malvern, Pennsylvania, E.U.A.|THE TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA.*; 3160 Chestnut Street, Suite 200, 19104-6283, Philadelphia, Pennsylvania, E.U.A.|
299055|Patente|MX/a/2011/006321|14/06/2011|09/05/2012|<i>G02B5/23</i> <b>(2006-01)</b>; <i>G02B5/30</i> <b>(2006-01)</b>|DISPOSITIVOS FOTOCROMATICOS DE POLARIZACION TRASLUCIDA A CIRCULAR Y METODOS PARA ELABORAR LOS MISMOS.|La presente invención proporciona elementos ópticos que comprenden un elemento fotocromático de polarización lineal y una capa birrefringente que circular o elípticamente polariza la radiación transmitida. El elemento fotocromático de polarización lineal comprende un sustrato y ya sea: (1) un recubrimiento que comprende un compuesto fotocromático y dicroico alineado y termorreversible que tiene un coeficiente de absorción promedio de al menos 1.5 en un estado activado, y es operable para cambiar de un primer estado de absorción a un segundo estado de absorción en respuesta a la radiación actínica, para volver nuevamente al primer estado de absorción en respuesta a la energía térmica, y polarizar linealmente la radiación transmitida en al menos uno de los dos estados; o (2) una lámina polimérica al menos parcialmente ordenada y conectada con el sustrato; y un compuesto fotocromático y dicroico termorreversible que está al menos parcialmente alineado con la lámina polimérica y tiene un coeficiente de absorción promedio mayor que 2.3 en su estado activado.|ANIL KUMAR; PETER C. FOLLER; ELIZABETH FURAR; FORREST R. BLACKBURN; 2402 Oak Hurst Court, 15668, Murrysville, Pennsylvania, E.U.A.|TRANSITIONS OPTICAL, INC.; 9251 Belcher Road, 33782, Pinellas Park, FL, E.U.A.|
299056|Patente|MX/a/2011/003506|01/04/2011|25/04/2012|<i>A63B23/12</i> <b>(2006-01)</b>|DISPOSITIVO VIBRADOR PORTATIL ELECTRONICO PARA EJERCICIOS, CON MOTOR ELECTRICO Y CONTROL REMOTO, PROVISTO CON RUEDAS, MANIJA RETRACTIL PARA SU ARRASTRE Y ADEMAS CON CUERDA ELASTICA PARA EJERCITAR LOS BRAZOS.|La presente invención se refiere a un dispositivo vibrador portátil electrónico para ejercicios, con motor eléctrico y control remoto, provisto con ruedas, manija retráctil para su arrastre y además con cuerda elástica para ejercitar los brazos, útil en el hogar, la oficina y el gimnasio para ejercitar el cuerpo. Así como permitir el ejercicio en una forma segura y fácil. Un dispositivo vibrador portátil electrónico para ejercicios comprende: i) un papel que forma un cuerpo, sobre el panel en la parte superior una cubierta para colocar los pies que vibra, en la parte superior frontal un panel de control de circuitos electrónicos, en la parte frontal un espacio para colocar el control remoto y un interruptor de encendido y apagado y toma corriente; ii) en la parte interior del panel, una placa de pedal que vibra provista con dos soportes, mecanismo de vibración y tarjetas electrónicos; iii) en la parte inferior una cubierta para la base, provista de una manija retráctil, ruedas para su transporte, patas de soporte y cuerdas elásticas para los brazos y iv) un control remoto.|JORGE WALTER HIRALES FRAGOSA; Plaza del Pescador Numero 35, Fraccionamiento Las Plazas, 85440, Guaymas, Sonora, MEXICO|FDT MEXICANA S.A. DE C.V.; Calzada Agustin Garcia Lopez Numero 1598-BIS, Col. Las Villas, 85440, GUAYMAS, Sonora, MEXICO|
299057|Patente|MX/a/2009/000275|08/01/2009|10/05/2012|<i>C07K14/62</i> <b>(2006-01)</b>; <i>C12P21/02</i> <b>(2006-01)</b>|METODO PARA PREPARAR ANALOGOS DE INSULINA CON EXTREMO DE CADENA B DIBASICO.|La invención se refiere a un método para producir un tipo de insulina por ingeniería genética de un precursor de la misma y convertir dicho precursor en una reacción de ligadura catalizada de enzima con lisinamida o argininamida o con lisina o arginina modificada por grupos protectores y opcionalmente posterior hidrólisis, para dar esta insulina.|PAUL HABERMANN; FRANK ZOCHER; c/o Sanofi-Aventis Deutschland GmbH, 65926, Frankfurt am Main, ALEMANIA|SANOFI-AVENTIS DEUTSCHLAND GMBH; Brüningstrasse 50, 65929, Frankfurt am Main, ALEMANIA|
299058|Patente|MX/a/2007/011392|17/09/2007|10/05/2012|<i>C22C38/08</i> <b>(2006-01)</b>; <i>C21D9/42</i> <b>(2006-01)</b>; <i>C22C33/02</i> <b>(2006-01)</b>; <i>C22C38/12</i> <b>(2006-01)</b>; <i>C22C38/14</i> <b>(2006-01)</b>|COMPOSICIONES DE ACERO, METODOS PARA SU FORMACION, Y ARTICULOS FORMADOS A PARTIR DE ELLAS.|Se presentan composiciones de acero marenvejecible, métodos para su formación, y artículos formados a partir de ellas que comprenden, en peso, de 15.0% a 20.0% de Ní, de 2.0% a 6.0% de Mo, de 3.0% a 8.0% de Ti, hasta 0.5% de Al, el resto de Fe e impurezas residuales. La composición puede ser una primera capa de una placa compuesta, y puede tener una segunda capas depositada en la primera capa, la segunda capa teniendo una composición que comprende, en peso, de 15.0% a 20.0% de Ní, de 2.0% a 6.0% de Mo, de 1.0% a 3.0% de Ti, hasta 0.5% de Al, el resto siendo Fe e impurezas residuales. La primera capa puede tener un valor de dureza dentro de un rango de 58 a 64 RC, y la segunda capa puede tener un valor de dureza dentro de un rango de 48 a 54 RC. La primera capa puede ser formada empleando técnicas metalúrgicas en polvo. Artículos formados a partir de las composiciones incluyen placas blindadas.|THOMAS R. PARAYIL; RONALD E. BAILEY; TIMOTHY M. HACKETT; TONG C. LEE; 313 Oak Forest Drive, 15216, Pittsburgh, PA, E.U.A.|ATI PROPERTIES, INC.*; 1600 N.E. Old Salem Road, Post Office Box: 460, 97321, Albany, Oregon, E.U.A.|
299059|Patente|MX/a/2011/004948|10/05/2011|10/05/2012|<i>H01R13/658</i> <b>(2006-01)</b>|CONECTOR DE ENCHUFE DE ANGULO RECTO TENIENDO BLINDAJE Y METODO PARA PRODUCCION DE BLINDAJE DE CONECTOR DE ENCHUFE DE ANGULO RECTO.|La invención se relaciona con un conector (20a, 20b) de enchufe de ángulo recto que comprende una multiplicidad de elementos (50a, 50b) de contacto que están dispuestos uno junto al otro y previstos en la parte posterior del conector (20a, 20b) de enchufe de ángulo recto para ser unidos mediante soldadura fuerte con los conductores de una placa (4) de circuito impreso; que comprende un blindaje (22a, 22b) superior dispuesto al menos en el lado superior del conector (20a, 20b) de enchufe de ángulo recto y un blindaje (34a, 34b) inferior dispuesto en el lado inferior. El conector (20a, 20b) de enchufe de ángulo recto según la invención se caracteriza porque el blindaje (34a, 34b) inferior contiene un elemento (36a, 36b) de blindaje inferior en el lado de enchufe; la superficie (37a, 37b) de blindaje del elemento referido es orientada en la dirección (28) de enchufar; el blindaje (34a, 34b) inferior contiene además un elemento (38a, 38b) de blindaje inferior posterior separado, y los elementos (36a, 36b, 38a, 38b) de blindaje inferiores están conectados eléctricamente entre sí. El método según la invención para la producción del conector (20a, 20b) de enchufe de ángulo recto usa una unión de soldadura por láser para al menos los dos elementos (36a, 36b, 38a, 38b) de blindaje inferiores. El conector (20a, 20b) de enchufe de ángulo recto según la invención permite la conducción de señales de alta frecuencia con alta calidad de señal y alta integridad de señal. El blindaje del conector (20a, 20b) de enchufe de ángulo recto según la invención puede producirse de manera económica mediante el método según la invención.|JÜRGEN LAPPÖHN; Im Enter 3, 73108, Gammelshausen, ALEMANIA|ERNI ELECTRONICS GMBH.*; Seestrasse 9, 73099, Adelberg, ALEMANIA|
299060|Patente|PA/a/2000/010284|20/10/2000|10/05/2012|<i>A61K31/135</i> <b>(2006-01)</b>; <i>A61K38/09</i> <b>(2006-01)</b>|METODO PARA EL TRATAMIENTO DE DESORDENES DE LA FERTILIDAD.|En el método de manejo terapéutico de infertilidad por inseminación  intrauterina, la mejora que consiste de: a) la supervisión,  dependiente de la dosis, de gonadotropinas endógenas, especialmente  LH, con un antagonista de LH-RH que permite el mantenimiento de los  niveles de estrógeno, b)estimulación exógena del crecimiento de los  folículos ováricos, c) inducción de ovulación por HCG, LHRH nativa,  agonistas de LHRH o LH recombinante, d) inseminación intrauterina por  inyección de esperma. Los antagonistas de LH RH preferiblemente pueden  ser Cetrorelix o Antarelix. La estimulación se realiza por  administración de HMG o FSH recombinante con o sin LH recombinante o  con antiestrógenos tal como por ejemplo, Chlomiphen así como la  combinación de antiestrógenos como, por ejemplo Chlomiphen con gonadotropina.|ENGEL, JÜRGEN; RIETHMULLER-WINZEN, HILDE; REISSMANN, THOMAS;  Erlenweg 3, D-63755, Alzenau., , ALEMANIA|ZENTARIS IVF GMBH; Weismüllerstrasse 50, Frankfurt am Main, D-60314, , ALEMANIA|
299061|Patente|MX/a/2008/005490|28/04/2008|10/05/2012|<i>C07K14/705</i> <b>(2006-01)</b>; <i>C07K14/33</i> <b>(2006-01)</b>|RECEPTOR DE LA PROTEINA DE NEUROTOXINA BOTULINUM A Y SUS APLICACIONES.|La invención se relaciona con un polipéptido comprendiendo una secuencia de aminoácidos que es idéntica en al menos 70 por cientos a la secuencia de aminoácidos de la glicoproteína de la vesícula sináptica de homo sapiens. El polipéptido referido liga el fragmento Hc de la neurotoxina botulinum A con la salvedad que de el polipéptido no es la glicoproteína de la vesícula sináptica 2C de homo sapiens.|ANDREAS RUMMEL; STEFAN MAHRHOLD; JOHANNES WILHELM BIGALKE; THOMAS BINZ; Bandelstrasse 13b, 30171 Hannover, Alemania, , ALEMANIA|TOXOGEN GMBH; Feodor-Lynen-Str. 35, 30625 Hannover, Alemania, , ALEMANIA|
299062|Patente|MX/a/2007/011453|18/09/2007|10/05/2012|<i>C07D403/12</i> <b>(2006-01)</b>; <i>A61K31/4155</i> <b>(2006-01)</b>; <i>A61K31/4162</i> <b>(2006-01)</b>; <i>A61P3/10</i> <b>(2006-01)</b>; <i>C07D207/16</i> <b>(2006-01)</b>; <i>C07D401/12</i> <b>(2006-01)</b>; <i>C07D413/10</i> <b>(2006-01)</b>; <i>C07D413/12</i> <b>(2006-01)</b>; <i>C07D487/08</i> <b>(2006-01)</b>; <i>C07D495/04</i> <b>(2006-01)</b>|INHIBIDORES DE LA DIPEPTIDIL PEPTIDASA-IV.|La presente invención se refiere en general a compuestos inhibidores de la DPP-IV de pirrolidina y tiazolidina. La presente invención también provee métodos de síntesis para la preparación de tales compuestos, métodos para inhibir la DPP-IV usando tales compuestos y formulaciones farmacéuticas que los contienen para el tratamiento de enfermedades mediadas por DPP-IV, en particular, la diabetes tipo 2.|MATTHIAS SCHNEIDER; CHRISTOPH STEENECK; FRANK RICHTER; HEIKO KROTH; TIM FEUERSTEIN; JÜRGEN BOER; MICHAEL ESSERS; BERT NOLTE; MATTHIAS HOCHGUERTEL; FRITZ-FRIEDER FRICKEL; ARTHUR TAVERAS; Adalbert-Stifter-Strasse 8, 69221, Dossenheim, ALEMANIA|ALANTOS PHARMACEUTICALS HOLDING, INC.; Riverside Technology Center, Col. 840 Memorial Drive, 02139, Cambridge, Massachusetts, E.U.A.|
299063|Patente|MX/a/2008/002838|28/02/2008|10/05/2012|<i>C07D401/12</i> <b>(2006-01)</b>; <i>A61K31/4725</i> <b>(2006-01)</b>; <i>A61P27/06</i> <b>(2006-01)</b>; <i>A61P43/00</i> <b>(2006-01)</b>; <i>C07D401/14</i> <b>(2006-01)</b>; <i>C07D405/14</i> <b>(2006-01)</b>; <i>C07D409/14</i> <b>(2006-01)</b>|COMPUESTO DE SULFONAMIDA.|Un compuesto representado por la fórmula (1) [A representa un anillo saturado que contiene nitrógeno; m representa un número entero de O a 2; n representa un número entero de 1 a 4; G1 representa un átomo de hidrógeno, un átomo de cloro, un grupo hidroxilo, un grupo alcoxi o un grupo amino; G2 representa un átomo de halógeno, un grupo hidroxilo, un grupo ciano, un grupo carboxi, un grupo alquilo, un grupo alquenilo y similares representa un átomo de hidrógeno, un átomo de halógeno, un grupo hidroxilo, un grupo ciano, un grupo carboxi, un grupo alquilo, un grupo alquenilo y similares; G4 representa un grupo hidroxilo o -N(R1)(R2) (R1 y R2 representan un átomo de hidrógeno, un grupo alquilo, un grupo aralquilo, un grupo alquenilo, un grupo alquinilo o un grupo heterocíclico saturado); G5 es un sustituyente en un átomo de carbono que constituye un anillo de A y representa un átomo de hidrógeno, un átomo de flúor o un grupo alquilo] o una sal del mismo o un derivado del mismo que es un precursor, el cual inhibe de manera potente la fosforilación de la cadena ligera reguladora de miosina.|RINTARO YAMADA; MINORU SETO; 1-2, Yuraku-cho, 1-chome, 1008440, Chiyoda-ku, Tokio, JAPON|ASAHI KASEI PHARMA CORPORATION; 1-105, Kanda Jinbocho, Chiyoda-ku, Tokyo 101-8101, Japón, , JAPON|
299064|Patente|MX/a/2008/009083|15/07/2008|10/05/2012|<i>E21B34/00</i> <b>(2006-01)</b>|VALVULA DE ALETA FRANGIBLE CON MANGUITO DE IMPACTO HIDRAULICO.|Una válvula de aleta frangible que se puede cerrar para aislar hidráulicamente una porción de un tubo de perforación de pozo. La válvula de aleta está hecha de un material frangible adaptado para destrozarse ante impacto de un manguito de impacto. El manguito se puede usar para inicialmente mantener abierta la válvula de aleta. Un mecanismo de traba puede usarse para retener al manguito por encima de su posición inicial permitiendo que la aleta se cierre aislando una porción del tubo. El mecanismo de traba puede vincular un pistón para retener al manguito en la segunda posición. Un dispositivo susceptible a esfuerzo de corte adaptado para someterse a esfuerzo de corte bajo una presión predeterminada selectivamente conecta al pistón con el tubo. Cuando la presión dentro del tubo se incrementa por encima de la magnitud predeterminada el dispositivo susceptible a esfuerzo de corte libera al pistón y empuja al manguito dentro de la válvula de aleta cerrada ocasionando que la válvula de aleta sea destrozada. Un segundo mecanismos de traba puede prevenir movimiento adicional del manguito.|RICHARD J. ROSS; RUSSELL LAFARGUE; 5910 Forest Haven, 77066, Houston, Texas, E.U.A.|SUPERIOR ENERGY SERVICES, L.L.C.; 1105 Peters Road, Harvey, 70058, Louisiana, E.U.A.|
299065|Patente|MX/a/2009/006484|15/06/2009|10/05/2012|<i>A47L23/10</i> <b>(2006-01)</b>; <i>C09G1/08</i> <b>(2006-01)</b>|CERA Y GUANTES PARA PULIMENTO.|Se describe generalmente una cera que tiene propiedades mejoradas. En una modalidad, la cera puede incluir un preservativo que resiste el crecimiento de organismos tales como humus, hongos, bacterias y los similares, incluso después de periodos de tiempo extendido de no uso. Adicionalmente, la cera puede incorporarse o impregnarse en un guante para formar un todo en un dispositivo de tratamiento. Por ejemplo, el todo en un dispositivo de tratamiento puede impregnarse con una cera en al menos una superficie. En una modalidad, la cera puede resistir la quema u otra migración desde su área de aplicación a otras partes del todo en un dispositivo de tratamiento.|MARY E. KISTER; CHARLENE B. DUNBAR; MICHAEL L. GROSS; MARK FORESTE; 5475 Memphis Street, 30040, Cumming, Georgia, E.U.A.|KIMBERLY-CLARK WORLDWIDE, INC.*; 401 N. Lake Street, 54956, Neenah, Wisconsin, E.U.A.|
299066|Patente|MX/a/2008/000145|07/01/2008|10/05/2012|<i>A61J1/05</i> <b>(2006-01)</b>|RECIPIENTE PARA INFUSION INTEGRADO.|La presente invención se relaciona con un frasco unitario para inyección, de manera más particular, con un frasco unitario para medicamento que tiene una estructura integral en la que el recipiente del medicamento está conectado en forma sencilla a un recipiente de plástico que contiene una solución completamente esterilizada de manera que el medicamento pulverizado, liofilizado o líquido se mezcla con la solución mediante un ligero roce durante un corto tiempo. El frasco unitario para medicamento inyectable según la presente invención consta de: un recipiente de plástico equipado con un miembro de acoplamiento conectado con el recipiente del medicamento en un extremo y un miembro de liberación que libera el medicamento líquido y que está en el otro extremo; una tapa protectora formada de manera integral con el miembro de acoplamiento para recibir el recipiente del medicamento; y una aguja con conducto que se desplaza en dirección del recipiente del medicamento y perfora el tapón del recipiente del medicamento y se inserta en el miembro de acoplamiento que conecta el recipiente de plástico con el recipiente del medicamento.|OH, GI-BUM; G 5402, Samsung Tower Palace, Dogok 2-dong, 135-554, Gangnam-gu, Seoul, REPUBLICA DE COREA|OH, GI-BUM; G 5402, Samsung Tower Palace, Dogok 2-dong, 135-554, Gangnam-gu, Seoul, REPUBLICA DE COREA|
